		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.914062	M = 1500	N = 8	m = 9	n = 12000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000    3    2    3    1    6    3    3    5  6.497228 0.591715 SUCCESS  76
100101000    5    4    6    6    2    4    2    1 10.976625 0.203027 SUCCESS  77
100110000    3    7    3    0    1    4    5    6 15.505670 0.050027 SUCCESS  78
100111000    4    0    3    2    5    2    5    3  7.081977 0.527814 SUCCESS  79
101000000    4    4    3    4    1    5    3    2  4.378893 0.821424 SUCCESS  80
101000100    3    3    4    2    3    4    3    4  1.554446 0.991766 SUCCESS  81
101001000    1    2    3    1    4    5    4    5  6.789603 0.559494 SUCCESS  82
101001100    4    2    2    1    1    2    2    4  4.599553 0.799393 SUCCESS  83
101010000    2    1    3    4    2    4    2    2  3.308692 0.913520 SUCCESS  84
101010100    3    0    3    5    2    5    4    4  7.203340 0.514861 SUCCESS  85
101011000    5    4    0    5    4    2    4    3  7.617077 0.471739 SUCCESS  86
101011100    1    4    1    2    2    3    2    2  4.185815 0.839981 SUCCESS  87
101100000    2    4    2    3    5    1    4    2  4.549904 0.804420 SUCCESS  88
101100100    3    2    1    2    6    3    0    1  9.542335 0.298627 SUCCESS  89
101101000    4    5    2    5    1    4    0    1  9.785061 0.280437 SUCCESS  90
101101100    5    1    5    2    3    2    4    2  5.669754 0.684169 SUCCESS  91
101110000    6    6    4    3    2    1    4    3  9.150664 0.329746 SUCCESS  92
101110100    4    5    2    5    4    3    2    5  6.033842 0.643441 SUCCESS  93
101111000    4    3    1    1    3    3    1    3  4.307178 0.828400 SUCCESS  94
101111100    5    3    4    3    2    4    5    2  4.500256 0.809408 SUCCESS  95
110000000    2    4    2    1    2    4    2    3  3.308692 0.913520 SUCCESS  96
110000010    3    7    1    3    6    3    2    2 11.147636 0.193473 SUCCESS  97
110000100    2    3    3    7    3    2    2    5  8.323189 0.402554 SUCCESS  98
110001000    2    1    2    5    1    1    5    2  7.837737 0.449479 SUCCESS  99
110001010    3    3    2    7    2    0    2    4 10.198799 0.251349 SUCCESS 100
110010000    4    1    4    0    3    3    1    3  6.425514 0.599681 SUCCESS 101
110010010    5    3    2    6    8    7    2    0 23.515626 0.002762 FAILURE 102
110010100    3    3    5    3    2    2    3    3  2.139195 0.976444 SUCCESS 103
110011000    1    7    2    2    1    4    3    3  9.492687 0.302451 SUCCESS 104
110011010    6    0    4    1    4    2    4    2  9.492687 0.302451 SUCCESS 105
110100000    3    7    1    2    1    3    4    3  9.200312 0.325681 SUCCESS 106
110100010    3    5    3    5    2    3    3    5  4.913993 0.766728 SUCCESS 107
110100100    0    1    3    3    3    3    3    4  4.720916 0.786946 SUCCESS 108
110101000    3    1    6    2    2    3    2    6  8.907938 0.350122 SUCCESS 109
110101010    3    1    2    5    2    3    6    3  6.789603 0.559494 SUCCESS 110
110101100    4    2    2    4    1    4    3    4  3.551418 0.895163 SUCCESS 111
110110000    0    4    3    4    4    1    3    1  6.839251 0.554072 SUCCESS 112
110110010    3    3    3    3    5    4    3    4  2.381921 0.967010 SUCCESS 113
110110100    5    5    1    3    2    2    3    2  5.256016 0.729895 SUCCESS 114
