		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.914062	M = 1500	N = 8	m = 9	n = 12000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
000111101    1    5    2    3    2    3    4    3  3.843793 0.870935 SUCCESS  28
000111111    5    3    3    4    0    1    3    2  6.546877 0.586213 SUCCESS  29
001000011    4    5    3    2    3    2    3    2  2.845306 0.943687 SUCCESS  30
001000101    2    1    1    5    3    2    3    2  5.013290 0.756155 SUCCESS  31
001000111    2    3    2    3    2    4    0    2  4.599553 0.799393 SUCCESS  32
001001011    4    4    5    5    3    2    2    3  4.500256 0.809408 SUCCESS  33
001001101    2    1    4    4    3    2    5    2  4.549904 0.804420 SUCCESS  34
001001111    0    3    1    6    1    3    3    1 10.248447 0.248019 SUCCESS  35
001010011    1    3    3    3    5    2    2    6  6.789603 0.559494 SUCCESS  36
001010101    5    0    3    3    2    3    1    3  6.133139 0.632321 SUCCESS  37
001010111    2    3    1    2    3    4    5    4  4.257530 0.833173 SUCCESS  38
001011011    2    3    8    4    5    3    3    5 12.923949 0.114493 SUCCESS  39
001011101    7    4    4    5    7    1    5    4 17.403345 0.026173 SUCCESS  40
001011111    3    4    2    1    5    3    2    5  5.377379 0.716584 SUCCESS  41
001100101    2    5    2    3    4    8    4    4 12.510211 0.129850 SUCCESS  42
001100111    4    5    0    2    3    5    2    3  7.081977 0.527814 SUCCESS  43
001101011    3    5    4    4    2    3    4    4  3.501770 0.899052 SUCCESS  44
001101101    2    1    3    2    6    3    3    2  5.548391 0.697673 SUCCESS  45
001101111    4    4    1    1    2    2    4    6  7.788089 0.454439 SUCCESS  46
001110101    6    5    3    3    4    2    5    1  8.444552 0.391292 SUCCESS  47
001110111    3    0    2    1    0    3    1    2  9.178246 0.327483 SUCCESS  48
001111011    3    7    3    2    2    3    4    0  9.906424 0.271655 SUCCESS  49
001111101    1    3    4    0    1    3    2    2  6.596525 0.580722 SUCCESS  50
001111111    3    1    1    3    3    1    3    2  4.185815 0.839981 SUCCESS  51
010000011    6    3    3    2    1    4    5    1  8.201826 0.414008 SUCCESS  52
010000111    5    3    2    0    3    5    5    1  9.200312 0.325681 SUCCESS  53
010001011    2    2    5    5    7    3    3    3  9.564401 0.296939 SUCCESS  54
010001111    2    2    5    5    0    1    1    6 12.609508 0.126010 SUCCESS  55
010010011    1    1    0    6    2    2    1    1 12.124057 0.145754 SUCCESS  56
010010111    5    4    6    2    3    5    1    7 14.336172 0.073413 SUCCESS  57
010011011    3    2    2    3    2    2    6    2  4.842279 0.774293 SUCCESS  58
010011111    1    0    0    4    3    2    4    1  9.713347 0.285724 SUCCESS  59
010100011    2    0    4    4    3    1    2    1  7.010263 0.535526 SUCCESS  60
010100111    2    1    2    3    4    3    3    4  2.723943 0.950470 SUCCESS  61
010101011    4    0    1    4    2    2    3    3  5.719402 0.678630 SUCCESS  62
010101111    1    2    1    3    1    3    3    3  4.185815 0.839981 SUCCESS  63
010110011    4    0    2    6    1    4    6    4 12.559860 0.127918 SUCCESS  64
010110111    2    1    5    4    4    2    1    3  5.548391 0.697673 SUCCESS  65
010111011    5    3    6    3    3    1    5    5  9.272027 0.319870 SUCCESS  66
010111111    2    1    3    1    4    4    4    3  4.136167 0.844634 SUCCESS  67
011000111    3    3    4    2    0    2    4    2  4.720916 0.786946 SUCCESS  68
011001111    4    4    1    0    0    4    3    2  8.836224 0.356300 SUCCESS  69
011010111    5    4    3    1    3    5    4    2  5.498742 0.703179 SUCCESS  70
011011111    3    5    3    3    2    1    4    4  3.965156 0.860253 SUCCESS  71
011101111    4    0    5    1    2    4    3    7 12.852234 0.117036 SUCCESS  72
011111111    3    2    1    2    3    1    3    0  6.182788 0.626765 SUCCESS  73
100000000    4    3    3    3    4    3    3    1  2.139195 0.976444 SUCCESS  74
100010000    1    5    5    0    3    3    5    1 10.198799 0.251349 SUCCESS  75
100100000    7    3    3    3    0    4    4    1 11.026273 0.200215 SUCCESS  76
100101000    2    2    1    5    4    2    3    5  5.669754 0.684169 SUCCESS  77
100110000    3    3    0    7    2    5    2    5 12.559860 0.127918 SUCCESS  78
100111000    3    5    2    4    5    2    2    3  4.378893 0.821424 SUCCESS  79
101000000    5    3    2    2    2    1    3    2  4.014804 0.855785 SUCCESS  80
101000100    2    6    1    2    0    1    4    2 10.248447 0.248019 SUCCESS  81
101001000    5    3    3    5    2    2    1    4  5.377379 0.716584 SUCCESS  82
101001100    5    2    2    4    2    3    3    5  4.378893 0.821424 SUCCESS  83
101010000    6    5    2    2    6    2    3    2  9.443038 0.306310 SUCCESS  84
101010100    5    4    4    1    4    5    1    3  6.910966 0.546269 SUCCESS  85
101011000    3    4    2    3    5    0    3    2  5.548391 0.697673 SUCCESS  86
101011100    5    4    0    1    4    4    6    3 10.441525 0.235393 SUCCESS  87
101100000    0    3    6    6    8    2    2    3 19.449966 0.012630 SUCCESS  88
101100100    2    2    5    1    2    1    4    0  8.422486 0.393325 SUCCESS  89
101101000    6    3    2    2    1    0    5    6 13.144609 0.106970 SUCCESS  90
101101100    5    3    5    3    5    2    3    2  5.206368 0.735309 SUCCESS  91
101110000    5    1    0    1    1    5    2    1 11.539308 0.172972 SUCCESS  92
101110100    4    4    2    7    2    3    6    2 10.976625 0.203027 SUCCESS  93
101111000    2    3    5    5    3    2    3    2  3.965156 0.860253 SUCCESS  94
101111100    2    6    4    3    3    3    3    9 17.160620 0.028479 SUCCESS  95
110000000    2    4    4    4    7    4    4    3  8.273541 0.407216 SUCCESS  96
110000010    3    1    3    6    4    3    1    5  7.909452 0.442365 SUCCESS  97
110000100    4    3    2    1    1    3    1    2  4.891927 0.769062 SUCCESS  98
110001000    0    3    6    0    3    2    1    1 12.245420 0.140585 SUCCESS  99
110001010    6    2    4    4    5    0    0    6 15.384307 0.052090 SUCCESS 100
110010000    7    3    3    2    1    4    3    2  8.201826 0.414008 SUCCESS 101
110010010    1    3    2    6    2    3    3    1  6.546877 0.586213 SUCCESS 102
110010100    2    5    2    4    5    2    3    6  7.738440 0.459428 SUCCESS 103
110011000    1    3    2    4    3    4    4    7  8.736927 0.364972 SUCCESS 104
110011010    4    2    3    4    3    2    3    4  1.846820 0.985353 SUCCESS 105
110100000    4    0    2    3    2    2    5    2  6.133139 0.632321 SUCCESS 106
110100010    3    6    0    2    4    2    3    3  7.374352 0.496833 SUCCESS 107
110100100    6    3    3    5    3    3    2    2  5.498742 0.703179 SUCCESS 108
110101000    4    4    3    4    4    0    3    2  4.963642 0.761455 SUCCESS 109
110101010    4    4    2    2    4    4    3    3  2.260558 0.971964 SUCCESS 110
110101100    4    4    3    4    2    1    3    3  2.845306 0.943687 SUCCESS 111
110110000    2    3    6    4    5    3    2    2  6.204854 0.624297 SUCCESS 112
110110010    2    3    4    0    2    0    4    4  7.837737 0.449479 SUCCESS 113
110110100    6    2    7    1    4    4    5    5 14.749910 0.064195 SUCCESS 114
110111000    3    1    2    1    1    3    2    1  5.769051 0.673084 SUCCESS 115
110111010    3    2    2    4    0    6    3    4  7.788089 0.454439 SUCCESS 116
110111100    2    2    3    3    4    2    3    2  1.604094 0.990841 SUCCESS 117
111000000    3    3    3    3    3    0    2    1  4.599553 0.799393 SUCCESS 118
111000010    3    3    1    2    2    7    1    3  9.078949 0.335680 SUCCESS 119
111000100    0    4    5    2    2    4    5    1  8.786575 0.360619 SUCCESS 120
111000110    3    6    3    3    3    3    2    2  3.965156 0.860253 SUCCESS 121
111001000    5    1    2    5    2    5    3    0  9.492687 0.302451 SUCCESS 122
111001010    2    2    0    3    4    1    4    4  6.133139 0.632321 SUCCESS 123
111001100    2    2    2    3    5    8    3    7 17.452994 0.025723 SUCCESS 124
111010000    2    2    3    3    1    3    4    1  3.601067 0.891206 SUCCESS 125
111010010    5    3    4    4    1    8    0    3 15.798044 0.045364 SUCCESS 126
111010100    5    1    2    1    2    1    4    2  6.717888 0.567354 SUCCESS 127
111010110    4    4    1    3    3    4    2    2  3.137681 0.925422 SUCCESS 128
111011000    0    0    5    1    1    2    3    1 11.710319 0.164604 SUCCESS 129
111011010    6    2    6    1    4    1    4    2 10.733899 0.217237 SUCCESS 130
111011100    7    0    1    1    1    6    3    0 19.135526 0.014151 SUCCESS 131
111100000    2    4    4    4    4    1    1    3  4.549904 0.804420 SUCCESS 132
111100010    1    3    6    1    6    1    2    2 11.197285 0.190769 SUCCESS 133
111100100    3    1    0    8    2    4    3    3 14.143095 0.078111 SUCCESS 134
111100110    1    3    2    1    6    5    4   10 25.926335 0.001081 FAILURE 135
111101000    1    3    2    0    1    3    3    5  7.424000 0.491651 SUCCESS 136
111101010    3    1    0    2    1    2    3    3  6.182788 0.626765 SUCCESS 137
111101100    0    2    4    0    3    1    5    0 12.537794 0.128773 SUCCESS 138
111101110    5    2    4    1    1    6    4    3  8.615564 0.375756 SUCCESS 139
111110000    2    3    4    3    3    2    3    7  6.910966 0.546269 SUCCESS 140
111110010    2    5    0    8    4    2    2    2 15.262944 0.054230 SUCCESS 141
111110100    1    2    3    0    1    2    1    3  7.473648 0.486494 SUCCESS 142
111110110    4    1    3    0    2    3    5    0  9.542335 0.298627 SUCCESS 143
111111000    2    4    4    1    3    3    1    3  3.722430 0.881259 SUCCESS 144
111111010    4    2    0    1    3    1    3    1  7.595011 0.473995 SUCCESS 145
111111100    1    2    2    3    6    1    1    3  7.837737 0.449479 SUCCESS 146
111111110    3    2    1    2    3    1    3    0  6.182788 0.626765 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.914062	M = 1500	N = 8	m = 9	n = 12000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    0    4    3    3    4    2    3    4  4.549904 0.804420 SUCCESS   0
000000011    2    6    2    1    1    2    2    1  8.422486 0.393325 SUCCESS   1
000000101    1    3    0    3    5    2    5    3  7.666726 0.466683 SUCCESS   2
000000111    2    2    6    2    2    5    1    1  8.665212 0.371320 SUCCESS   3
000001001    0    6    5    3    2    3    0    2 11.489659 0.175467 SUCCESS   4
000001011    2    4    2    2    7    2    5    2  9.321675 0.315891 SUCCESS   5
000001101    2    2    5    1    3    2    3    6  7.081977 0.527814 SUCCESS   6
000001111    4    2    3    2    2    6    1    2  6.254502 0.618747 SUCCESS   7
000010001    2    6    1    1    3    2    1    2  8.130112 0.420865 SUCCESS   8
000010011    1    5    3    1    4    2    3    1  6.133139 0.632321 SUCCESS   9
000010101    3    0    4    4    1    3    4    2  5.840765 0.665063 SUCCESS  10
000010111    1    3    2    2    7    2    0    0 14.071380 0.079924 SUCCESS  11
000011001    1    3    1    2    5    3    4    1  6.133139 0.632321 SUCCESS  12
000011011    3    2    6    2    2    1    4    5  7.495714 0.484210 SUCCESS  13
000011101    0    4    6    1    3    2    4    2  9.078949 0.335680 SUCCESS  14
000011111    4    2    2    4    2    4    0    5  6.668240 0.572813 SUCCESS  15
000100011    3    4    0    1    6    0    0    4 14.485118 0.069965 SUCCESS  16
000100101    1    8    7    1    0    1    0    3 24.905783 0.001613 FAILURE  17
000100111    2    4    5    1    3    1    6    1  9.492687 0.302451 SUCCESS  18
000101001    4    2    2    5    3    4    5    1  5.791116 0.670617 SUCCESS  19
000101011    2    4    1    6    2    2    6    0 12.317134 0.137605 SUCCESS  20
000101101    4    5    2    3    3    4    2    1  4.257530 0.833173 SUCCESS  21
000101111    1    2    4    2    7    0    3    6 14.556832 0.068357 SUCCESS  22
000110011    3    4    4    5    6    4    2    2  6.739954 0.564932 SUCCESS  23
000110101    3    2    0    3    4    3    3    3  3.722430 0.881259 SUCCESS  24
000110111    4    3    2    1    0    1    3    6  9.663698 0.289428 SUCCESS  25
000111001    5    1    4    0    2    2    3    4  7.252989 0.509599 SUCCESS  26
000111011    3    1    4    2    1    2    4    6  7.374352 0.496833 SUCCESS  27
000111101    3    2    2    3    4    6    3    3  4.378893 0.821424 SUCCESS  28
000111111    6    6    3    7    4    3    0    5 17.574357 0.024654 SUCCESS  29
001000011    3    1    3    3    4    6    4    2  5.791116 0.670617 SUCCESS  30
001000101    1    3    2    2    1    5    3    2  5.013290 0.756155 SUCCESS  31
001000111    7    3    2    3    2    2    0    6 13.144609 0.106970 SUCCESS  32
001001011    2    7    5    0    2    3    1    5 13.850721 0.085740 SUCCESS  33
001001101    1    3    4    4    0    2    4    0  8.836224 0.356300 SUCCESS  34
001001111    6    8    5    0    3    2    5    6 22.224765 0.004516 FAILURE  35
001010011    7    2    2    4    1    3    4    2  8.907938 0.350122 SUCCESS  36
001010101    3    3    2    0    1    3    4    2  5.305665 0.724462 SUCCESS  37
001010111    5    5    2    4    1    2    7    1 12.559860 0.127918 SUCCESS  38
001011011    1    3    2    6    2    5    4    3  7.203340 0.514861 SUCCESS  39
001011101    1    3    4    2    1    5    0    2  8.130112 0.420865 SUCCESS  40
001011111    3    2    1    1    5    1    2    6  9.371324 0.311946 SUCCESS  41
001100101    4    1    3    0    1    2    3    1  7.595011 0.473995 SUCCESS  42
001100111    3    4    3    3    8    3    1    5 12.388848 0.134679 SUCCESS  43
001101011    3    2    2    4    2    4    4    0  5.134653 0.743092 SUCCESS  44
001101101    2    1    3    3    4    0    4    1  6.717888 0.567354 SUCCESS  45
001101111    6    5    3    4    3    2    7    4 11.925463 0.154561 SUCCESS  46
001110101    2    3    5    1    2    1    2    4  5.427028 0.711111 SUCCESS  47
001110111    2    2    3    0    3    4    1    5  6.839251 0.554072 SUCCESS  48
001111011    2    1    2    3    2    3    3    4  2.602580 0.956776 SUCCESS  49
001111101    3    5    2    3    2    1    2    1  5.013290 0.756155 SUCCESS  50
001111111    5    5    3    4    4    1    2    5  7.032329 0.533149 SUCCESS  51
010000011    2    4    2    0    6    2    5    3  9.200312 0.325681 SUCCESS  52
010000111    6    1    4    0    4    5    5    5 13.094960 0.108624 SUCCESS  53
010001011    0    1    3    2    2    5    4    4  7.252989 0.509599 SUCCESS  54
010001111    4    4    1    4    2    5    0    4  7.788089 0.454439 SUCCESS  55
010010011    4    5    4    4    1    3    0    7 12.973597 0.112761 SUCCESS  56
010010111    2    6    6    3    1    1    1    4 11.318648 0.184290 SUCCESS  57
010011011    5    4    3    3    3    2    5    2  4.086519 0.849234 SUCCESS  58
010011111    4    6    4    2    2    3    3    4  5.206368 0.735309 SUCCESS  59
010100011    1    3    5    7    3    3    1    4 10.441525 0.235393 SUCCESS  60
010100111    1    2    2    9    1    3    2    2 16.846179 0.031751 SUCCESS  61
010101011    4    3    2    0    1    3    1    1  7.595011 0.473995 SUCCESS  62
010101111    2    3    2    4    3    2    4    2  2.017832 0.980460 SUCCESS  63
010110011    6    2    2    2    3    5    3    3  5.791116 0.670617 SUCCESS  64
010110111    1    0    4    3    1    6    0    0 15.362241 0.052473 SUCCESS  65
010111011    1    5    4    1    3    3    0    1  8.836224 0.356300 SUCCESS  66
010111111    2    3    3    2    7    1    2    4  8.494201 0.386741 SUCCESS  67
011000111    4    3    3    4    3    4    6    2  4.913993 0.766728 SUCCESS  68
011001111    3    3    2    4    6    2    3    3  4.378893 0.821424 SUCCESS  69
011010111    5    1    1    2    2    5    1    1  8.836224 0.356300 SUCCESS  70
011011111    5    5    2    3    4    5    5    2  7.153692 0.520145 SUCCESS  71
011101111    4    3    4    1    3    3    0    3  5.134653 0.743092 SUCCESS  72
011111111    6    4    1    5    4    1    2    5 10.149150 0.254713 SUCCESS  73
100000000    0    4    3    3    4    2    3    4  4.549904 0.804420 SUCCESS  74
100010000    6    3    2    2    4    4    5    1  7.617077 0.471739 SUCCESS  75
100100000    1    6    3    3    5    2    3    2  6.789603 0.559494 SUCCESS  76
100101000    2    4    5    2    4    1    0    3  7.252989 0.509599 SUCCESS  77
100110000    4    1    3    2    2    4    1    4  4.428541 0.816539 SUCCESS  78
100111000    3    2    1    6    2    1    1    0 10.833196 0.211331 SUCCESS  79
101000000    1    2    2    1    5    3    3    2  5.013290 0.756155 SUCCESS  80
101000100    1    5    5    1    1    6    4    4 11.147636 0.193473 SUCCESS  81
101001000    5    2    1    3    2    4    5    3  5.377379 0.716584 SUCCESS  82
101001100    3    2    4    2    5    1    3    1  5.134653 0.743092 SUCCESS  83
101010000    2    3    3    3    6    2    4    0  7.374352 0.496833 SUCCESS  84
101010100    2    3    0    3    2    5    6    3  8.494201 0.386741 SUCCESS  85
101011000    1    3    2    1    0    1    3    1  8.472135 0.388759 SUCCESS  86
101011100    2    4    1    3    1    2    3    4  4.014804 0.855785 SUCCESS  87
101100000    1    3    4    2    2    3    4    1  4.014804 0.855785 SUCCESS  88
101100100    4    3    4    1    2    4    6    5  7.738440 0.459428 SUCCESS  89
101101000    1    3    2    5    1    2    2    3  5.013290 0.756155 SUCCESS  90
101101100    3    1    1    4    3    2    5    5  6.375865 0.605207 SUCCESS  91
101110000    0    5    2    2    4    4    3    5  7.495714 0.484210 SUCCESS  92
101110100    2    3    3    0    1    4    2    6  8.665212 0.371320 SUCCESS  93
101111000    1    2    3    3    3    1    3    3  2.894955 0.940776 SUCCESS  94
101111100    4    4    0    2    1    2    4    3  6.133139 0.632321 SUCCESS  95
110000000    2    7    3    1    2    2    3    2  8.372838 0.397923 SUCCESS  96
110000010    0    3    3    2    4    2    6    4  7.788089 0.454439 SUCCESS  97
110000100    3    3    2    3    1    1    2    3  3.187329 0.922057 SUCCESS  98
110001000    7    1    1    1    7    0    2    2 19.256889 0.013545 SUCCESS  99
110001010    3    3    4    7    2    3    7    2 12.802586 0.118825 SUCCESS 100
110010000    0    3    3    4    3    2    1    1  6.304151 0.613203 SUCCESS 101
110010010    3    3    5    4    2    3    4    4  3.088032 0.928712 SUCCESS 102
110010100    3    2    3    1    2    4    3    4  2.723943 0.950470 SUCCESS 103
110011000    3    3    3    4    0    7    4    5 11.268999 0.186918 SUCCESS 104
110011010    3    2    3    5    5    4    3    2  4.086519 0.849234 SUCCESS 105
110100000    3    1    1    0    5    5    1    2 10.248447 0.248019 SUCCESS 106
110100010    0    3    5    2    1    4    2    4  7.252989 0.509599 SUCCESS 107
110100100    7    7    1    1    2    4    2    5 16.917894 0.030975 SUCCESS 108
110101000    2    6    3    5    5    5    3    4  8.687278 0.369360 SUCCESS 109
110101010    3    3    0    3    2    5    3    2  5.134653 0.743092 SUCCESS 110
110101100    3    1    1    1    3    4    3    1  5.598039 0.692156 SUCCESS 111
110110000    1    2    5    4    0    1    1    3  9.128598 0.331564 SUCCESS 112
110110010    1    3    6    3    2    3    6    5  9.856776 0.275223 SUCCESS 113
110110100    4    1    2    4    5    1    2    1  6.839251 0.554072 SUCCESS 114
110111000    1    2    4    5    3    3    4    5  5.498742 0.703179 SUCCESS 115
110111010    1    6    4    3    2    3    1    6 10.027787 0.263081 SUCCESS 116
110111100    2    1    3    3    4    1    4    2  4.014804 0.855785 SUCCESS 117
111000000    2    9    2    2    4    5    4    2 16.625519 0.034254 SUCCESS 118
111000010    4    3    1    2    4    4    2    3  3.137681 0.925422 SUCCESS 119
111000100    3    0    1    3    4    1    1    1  8.593498 0.377739 SUCCESS 120
111000110    1    2    2    5    1    5    1    2  7.837737 0.449479 SUCCESS 121
111001000    6    3    5    3    5    4    2    2  7.446066 0.489356 SUCCESS 122
111001010    1    3    3    1    0    1    1    5  9.713347 0.285724 SUCCESS 123
111001100    2    3    2    4    1    3    2    4  3.016318 0.933329 SUCCESS 124
111010000    2    1    3    0    3    3    2    2  5.184302 0.737708 SUCCESS 125
111010010    3    7    2    2    2    4    1    3  8.494201 0.386741 SUCCESS 126
111010100    3    5    4    7    2    3    1    5 10.976625 0.203027 SUCCESS 127
111010110    2    2    3    2    4    2    1    2  3.187329 0.922057 SUCCESS 128
111011000    5    4    5    3    1    1    2    3  6.375865 0.605207 SUCCESS 129
111011010    7    0    3    4    4    2    1    0 14.314106 0.073937 SUCCESS 130
111011100    3    3    1    3    3    3    2    3  1.604094 0.990841 SUCCESS 131
111100000    2    6    4    2    2    3    5    4  6.618591 0.578286 SUCCESS 132
111100010    4    2    3    2    2    2    1    5  4.428541 0.816539 SUCCESS 133
111100100    5    1    5    3    5    4    4    2  7.032329 0.533149 SUCCESS 134
111100110    2    3    0    4    2    8    4    5 15.091933 0.057382 SUCCESS 135
111101000    2    4    4    1    1    4    4    0  7.545363 0.479090 SUCCESS 136
111101010    2    2    2    5    5    3    2    3  4.257530 0.833173 SUCCESS 137
111101100    5    2    4    5    4    3    2    2  4.792630 0.779493 SUCCESS 138
111101110    3    3    4    5    2    2    3    4  2.966669 0.936432 SUCCESS 139
111110000    1    6    0    2    3    5    5    5 12.559860 0.127918 SUCCESS 140
111110010    2    3    5    4    4    1    2    4  4.671267 0.792064 SUCCESS 141
111110100    4    5    4    0    1    1    4    1  9.663698 0.289428 SUCCESS 142
111110110    8    3    3    7    5    4    2    3 17.281982 0.027303 SUCCESS 143
111111000    3    6    2    2    5    4    4    3  6.326217 0.610741 SUCCESS 144
111111010    5    4    3    4    4    1    3    1  5.377379 0.716584 SUCCESS 145
111111100    3    7    5    2    2    3    4    6 11.804100 0.160161 SUCCESS 146
111111110    6    4    1    5    4    1    2    5 10.149150 0.254713 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.914062	M = 1500	N = 8	m = 9	n = 12000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    2    4    2    1    1    4    2    1  5.598039 0.692156 SUCCESS   0
000000011    3    2    0    2    4    4    1    5  7.252989 0.509599 SUCCESS   1
000000101    2    3    5    3    0    2    3    0  8.130112 0.420865 SUCCESS   2
000000111    3    1    2    1    2    1    3    3  4.478190 0.811611 SUCCESS   3
000001001    3    3    2    3    4    1    3    4  2.431569 0.964846 SUCCESS   4
000001011    2    1    3    5    1    4    3    1  6.133139 0.632321 SUCCESS   5
000001101    2    5    3    1    3    4    1    1  6.133139 0.632321 SUCCESS   6
000001111    4    1    2    0    1    4    3    2  7.010263 0.535526 SUCCESS   7
000010001    0    8    1    3    3    1    2    5 16.553805 0.035106 SUCCESS   8
000010011    3    3    3    4    1    1    3    6  6.375865 0.605207 SUCCESS   9
000010101    6    5    6    4    2    3    5    2 10.805613 0.212959 SUCCESS  10
000010111    3    1    3    3    1    4    4    6  6.789603 0.559494 SUCCESS  11
000011001    3    3    1    7    5    3    4    2  9.443038 0.306310 SUCCESS  12
000011011    7    4    3    2    1    3    2    2  8.494201 0.386741 SUCCESS  13
000011101    8    1    3    3    3    0    4    3 13.850721 0.085740 SUCCESS  14
000011111    2    3    4    2    4    6    2    4  5.498742 0.703179 SUCCESS  15
000100011    3    6    4    3    3    1    4    2  5.791116 0.670617 SUCCESS  16
000100101    1    4    4    3    2    4    5    1  5.669754 0.684169 SUCCESS  17
000100111    5    1    1    3    3    0    4    3  7.545363 0.479090 SUCCESS  18
000101001    3    2    6    0    5    2    1    2 10.077436 0.259633 SUCCESS  19
000101011    3    3    4    4    3    5    4    2  3.088032 0.928712 SUCCESS  20
000101101    2    0    2    3    4    6    1    2  8.957587 0.345887 SUCCESS  21
000101111    1    1    2    1    1    2    8    6 18.258403 0.019370 SUCCESS  22
000110011    5    5    1    5    4    2    2    3  6.910966 0.546269 SUCCESS  23
000110101    3    7    4    3    3    5    3    5  9.393390 0.310204 SUCCESS  24
000110111    4    2    3    3    1    5    3    5  5.085005 0.748453 SUCCESS  25
000111001    2    3    4    2    2    5    8    2 12.267486 0.139662 SUCCESS  26
000111011    8    1    4    3    2    0    3    3 14.143095 0.078111 SUCCESS  27
000111101    8    3    2    4    2    2    3    0 13.436983 0.097673 SUCCESS  28
000111111    3    4    2    2    5    2    3    5  4.378893 0.821424 SUCCESS  29
001000011    6    4    2    4    2    3    2    0  8.080463 0.425650 SUCCESS  30
001000101    1    1    1    4    2    3    2    3  4.891927 0.769062 SUCCESS  31
001000111    2    4    8    0    3    1    4    4 14.970570 0.059720 SUCCESS  32
001001011    3    4    5    2    3    3    6    2  5.912479 0.657035 SUCCESS  33
001001101    2    4    5    6    2    7    3    5 13.337686 0.100747 SUCCESS  34
001001111    3    1    1    1    4    2    3    2  4.891927 0.769062 SUCCESS  35
001010011    2    2    3    1    8    2    0    2 14.606481 0.067264 SUCCESS  36
001010101    3    2    4    4    5    2    5    3  4.500256 0.809408 SUCCESS  37
001010111    2    4    3    1    1    4    3    2  4.014804 0.855785 SUCCESS  38
001011011    1    5    1    2    4    2    3    1  6.425514 0.599681 SUCCESS  39
001011101    5    2    7    4    3    3    0    3 11.147636 0.193473 SUCCESS  40
001011111    2    1    2    0    1    0    3    6 12.537794 0.128773 SUCCESS  41
001100101    1    2    0    5    3    1    1    3  8.714861 0.366918 SUCCESS  42
001100111    2    5    2    4    4    3    2    3  3.259044 0.917065 SUCCESS  43
001101011    4    6    2    4    5    7    3    5 13.459049 0.097001 SUCCESS  44
001101101    8    5    2    5    1    4    3    3 14.214809 0.076335 SUCCESS  45
001101111    3    1    3    5    1    5    2    6  9.321675 0.315891 SUCCESS  46
001110101    3    2    1    3    4    1    2    1  4.891927 0.769062 SUCCESS  47
001110111    5    2    3    2    3    1    0    2  6.717888 0.567354 SUCCESS  48
001111011    4    4    4    3    3    2    2    2  2.139195 0.976444 SUCCESS  49
001111101    0    2    3    1    5    4    3    2  6.839251 0.554072 SUCCESS  50
001111111    2    2    0    3    4    4    6    2  8.080463 0.425650 SUCCESS  51
010000011    4    2    4    2    2    4    4    3  2.552932 0.959217 SUCCESS  52
010000111    5    3    8    4    2    3    5    2 13.216323 0.104620 SUCCESS  53
010001011    1    1    1    3    0    1    2    1  9.762995 0.282056 SUCCESS  54
010001111    3    4    3    1    4    1    3    4  3.843793 0.870935 SUCCESS  55
010010011    0    4    3    5    4    8    2    3 14.799558 0.063162 SUCCESS  56
010010111    4    2    4    4    6    0    3    4  8.323189 0.402554 SUCCESS  57
010011011    0    1    2    2    1    3    4    3  6.596525 0.580722 SUCCESS  58
010011111    1    1    0    0    3    4    3    1 10.298096 0.244724 SUCCESS  59
010100011    3    2    2    3    3    3    2    2  1.190357 0.996736 SUCCESS  60
010100111    1    2    2    3    3    2    1    2  3.772078 0.877080 SUCCESS  61
010101011    4    3    4    5    5    4    6    3  7.688792 0.464445 SUCCESS  62
010101111    2    4    6    2    2    3    2    2  5.256016 0.729895 SUCCESS  63
010110011    1    4    0    2    4    1    3    2  7.010263 0.535526 SUCCESS  64
010110111    2    3    3    3    5    2    4    2  2.845306 0.943687 SUCCESS  65
010111011    6    6    4    4    6    4    0    6 17.695720 0.023627 SUCCESS  66
010111111    3    2    2    2    2    0    3    5  5.719402 0.678630 SUCCESS  67
011000111    2    6    0    3    2    2    4    2  7.959100 0.437476 SUCCESS  68
011001111    2    4    2    3    3    4    1    6  6.083491 0.637880 SUCCESS  69
011010111    4    3    1    6    4    6    2    4  9.564401 0.296939 SUCCESS  70
011011111    2    3    0    2    3    3    1    7 10.783547 0.214268 SUCCESS  71
011101111    4    1    6    0    4    1    1    1 12.366782 0.135574 SUCCESS  72
011111111    1    3    2    4    1    3    1    0  7.595011 0.473995 SUCCESS  73
100000000    2    4    2    1    1    4    2    1  5.598039 0.692156 SUCCESS  74
